Model,anthropic/claude-3-sonnet,SYSTEM,"Please output a list of hexadecimal integers only, each integer between 0x0 and 0xffffffff. 
Do not give any explanations. 
Output format: [a, b, c ...].",temperature,0.4,top_p,1,Prompter,TemplatePromptGenerator4IC2,Extractor,UniversalExtractor
Total Message#,Dialog #,Message #,Total Token Cnt,USER,Input Token Cnt,ASSISTANT,Output Token Cnt,Action,Coverage Rate,Coverage Plan
1,1,1,1574,"""We are working with a CPU capable of executing RISC-V instructions. Our objective is to update the CPU's instruction memory with a sequence of 32-bit addresses and corresponding 32-bit instructions. The goal is to ensure that, when the CPU resumes executing instructions from the current PC, it covers the bins (i.e. test cases) that are of interest to us. 
Here's the description of the bins that are of interest to us:
------
BINS DESCRIPTION
- There are 32 register files available, with index from 0 to 31.
- Register 0 is denoted as ""zero"", and its content is always 0.
- There are 14 available types of operations:
---
OPERATIONS
  - R-type (format: [funct7 (7 bits)][rs2 (5 bits)][rs1 (5 bits)][funct3 (3 bits)][rd (5 bits)][op (7 bits)]):
    - ADD (opcode: 0110011, funct3: 000, funct7: 0000000): addition between two register files
    - SUB (opcode: 0110011, funct3: 000, funct7: 0100000): subtraction between two register files
    - AND (opcode: 0110011, funct3: 111, funct7: 0000000): logical operation AND between two register files
    - OR (opcode: 0110011, funct3: 110, funct7: 0000000): logical operation OR between two register files
    - XOR (opcode: 0110011, funct3: 100, funct7: 0000000): logical operation XOR between two register files
    - SLL (opcode: 0110011, funct3: 001, funct7: 0000000): logical shift left a register file by number of bits equal to another register file
    - SRL (opcode: 0110011, funct3: 101, funct7: 0000000): logical shift right a register file by number of bits equal to another register file
    - SRA (opcode: 0110011, funct3: 101, funct7: 0100000): arithmetic shift right a register file by number of bits equal to another register file
    - SLT (opcode: 0110011, funct3: 010, funct7: 0000000): make comparison between two register files; if the first one is smaller, write 1 to a register file, otherwise write 0
    - SLTU (opcode: 0110011, funct3: 011, funct7: 0000000): make comparison between two unsigned register files; if the first one is smaller, write 1 to a register file, otherwise write 0
  - S-type (format: [imm[11:5] (7 bits)][rs2 (5 bits)][rs1 (5 bits)][funct3 (3 bits)][imm[4:0] (5 bits)][op (7 bits)]):
    - SW (opcode: 0100011, funct3: 010): store a word (a 32-bit value) from a register file to the data memory at the address equal to a register file
    - SH (opcode: 0100011, funct3: 001): store a half-word (a 16-bit value) from a register file to the data memory at the address equal to a register file
    - SB (opcode: 0100011, funct3: 000): load a byte (an 8-bit value) from a register file to the data memory at the address equal to a register file
  - J-type (format: [imm[20|10:1|11|19:12] (20 bits)][rd (5 bits)][op (7 bits)]):
    - JAL (opcode: 1101111): store the address of next instruction as the return address in a register file, then jump (increase PC) by an immediate (i.e. constant value)
---

- BIN type 1: Make the CPU perform each operation at least once.
- BIN type 2: For each R-type or J-type operation, make the CPU execute an instruction with register zero as the destination register (rd).
- BIN type 3: For each R-type or S-type operation, make the CPU execute an instruction with register zero as one of the source registers (rs).
- BIN type 4: For each R-type or S-type operation, make the CPU execute an instruction where both source registers are the same register file.
- BIN type 5: For the JAL operation, make the CPU execute both forward jumps and backward jumps.

- Read-after-Write (RaW) hazard: happens when the current instruction reads from a register which the previous instruction wrote to.
- BIN type 6: For each R-type or S-type operation following an R-type or J-type operation, make the CPU execute two instructions that would cause an RaW hazard.
------
Following the bins description, generate a list, which can be empty if necessary, of ainstructions in 32-bit hexadecimal format to update the CPU's memory, ensuring it covers the specified bins upon resuming execution from the current PC. Make sure the instructions are VALID R-type, S-type, or J-type instructions. We encourage you to use a diverse variety of operations. 
""",1337,"""[0x00a00033, 0x00108133, 0x40510133, 0x40a18133, 0x00612823, 0x40010113, 0x0051e1b3, 0x00119193, 0x405181b3, 0x00710033, 0x0071a033, 0x00b12023, 0x00c12823, 0x0061a823, 0x00d1a023, 0x00619823, 0x0051e833, 0x00119863, 0x405188b3, 0x00010637, 0xfff10e3f, 0x00412823, 0x00512823, 0x00912023, 0x00012503, 0x00412823, 0x00512823, 0x00119193, 0x40510133, 0x00108133, 0x00010637]""",237,none,12,"{'add_seen': 3, 'add_zero_dst': 2, 'add_zero_src': 1, 'add_same_src': 1, 'sub_seen': 4, 'slt_seen': 1, 'slt_zero_dst': 1, 'or_seen': 2, 'sh_seen': 1, 'sw_seen': 8, 'add->sub_raw_hazard': 1, 'sub->sw_raw_hazard': 1}"
2,1,2,2078,"""Thanks for your response.
The CPU has successfully executed numerous instructions following your update. The last instruction performed was 0x12503. 
You will now observe the bins haven't been achieved by the CPU, and proceed to generate another list, which can be empty if necessary, of address-instruction pairs to further modify the CPU's memory, ensuring it covers the previously unreached bins (i.e. test cases) upon resuming execution from the current PC.
Here are some of the unreached bins:
------
UNREACHED BINS
- sub_zero_dst: the CPU hasn't executed an instruction that performs the operation sub with register zero as the destination register.
- sub_zero_src: the CPU hasn't executed an instruction that performs the operation sub with register zero as one of the source registers.
- sra_zero_dst: the CPU hasn't executed an instruction that performs the operation sra with register zero as the destination register.
- sb_seen: the CPU hasn't performed the operation sb.
- sb_zero_src: the CPU hasn't executed an instruction that performs the operation sb with register zero as one of the source registers.
- or->sltu_raw_hazard: the CPU hasn't perform a or operation followed by a sltu operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- and->sll_raw_hazard: the CPU hasn't perform a and operation followed by a sll operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
------
Please generate a list, which can be empty if necessary, of instructions in 32-bit hexadecimal format (i.e. hex integers between 0x0 and 0xffffffff), with output format: [a, b, c, ...]. Make sure the instructions are valid RISC-V instruction codes.Remember that one instruction is 32 bits (8 bytes).
""",2022,"""[0x40000033, 0x40518033, 0x0051e1b3, 0xa0010137, 0x00412823, 0x00512033, 0x0051a833]""",56,none,15,"{'add_seen': 4, 'add_zero_dst': 2, 'add_zero_src': 1, 'add_same_src': 2, 'sub_seen': 6, 'sub_zero_dst': 1, 'sub_zero_src': 1, 'sub_same_src': 1, 'slt_seen': 1, 'slt_zero_dst': 1, 'or_seen': 2, 'sh_seen': 1, 'sw_seen': 10, 'add->sub_raw_hazard': 1, 'sub->sw_raw_hazard': 1}"
3,1,3,2604,"""Thanks for your response.
The CPU has successfully executed numerous instructions following your update. The last instruction performed was 0x40000033. 
You will now observe the bins haven't been achieved by the CPU, and proceed to generate another list, which can be empty if necessary, of address-instruction pairs to further modify the CPU's memory, ensuring it covers the previously unreached bins (i.e. test cases) upon resuming execution from the current PC.
Here are some of the unreached bins:
------
UNREACHED BINS
- sll_seen: the CPU hasn't performed the operation sll.
- sll_zero_dst: the CPU hasn't executed an instruction that performs the operation sll with register zero as the destination register.
- sll->add_raw_hazard: the CPU hasn't perform a sll operation followed by a add operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- sra_seen: the CPU hasn't performed the operation sra.
- sra_zero_src: the CPU hasn't executed an instruction that performs the operation sra with register zero as one of the source registers.
- or->sll_raw_hazard: the CPU hasn't perform a or operation followed by a sll operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- srl->sw_raw_hazard: the CPU hasn't perform a srl operation followed by a sw operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
------
Please generate a list, which can be empty if necessary, of instructions in 32-bit hexadecimal format (i.e. hex integers between 0x0 and 0xffffffff), with output format: [a, b, c, ...]. Make sure the instructions are valid RISC-V instruction codes.Remember that one instruction is 32 bits (8 bytes).
""",2545,"""[0x00512013, 0x00010137, 0x40510033, 0x40518033, 0x00512833, 0x00010637, 0xfe010113, 0x00412823]""",59,none,15,"{'add_seen': 4, 'add_zero_dst': 2, 'add_zero_src': 1, 'add_same_src': 2, 'sub_seen': 7, 'sub_zero_dst': 2, 'sub_zero_src': 1, 'sub_same_src': 1, 'slt_seen': 2, 'slt_zero_dst': 2, 'or_seen': 3, 'sh_seen': 1, 'sw_seen': 11, 'add->sub_raw_hazard': 1, 'sub->sw_raw_hazard': 1}"
4,1,4,3112,"""Thanks for your response.
The CPU has successfully executed numerous instructions following your update. The last instruction performed was 0x10137. 
You will now observe the bins haven't been achieved by the CPU, and proceed to generate another list, which can be empty if necessary, of address-instruction pairs to further modify the CPU's memory, ensuring it covers the previously unreached bins (i.e. test cases) upon resuming execution from the current PC.
Here are some of the unreached bins:
------
UNREACHED BINS
- sll_seen: the CPU hasn't performed the operation sll.
- sll_zero_dst: the CPU hasn't executed an instruction that performs the operation sll with register zero as the destination register.
- or_zero_dst: the CPU hasn't executed an instruction that performs the operation or with register zero as the destination register.
- xor_same_src: the CPU hasn't executed an instruction that performs the operation xor with same source registers.
- jal_zero_dst: the CPU hasn't executed an instruction that performs the operation jal with register zero as the destination register.
- and->slt_raw_hazard: the CPU hasn't perform a and operation followed by a slt operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- sub->slt_raw_hazard: the CPU hasn't perform a sub operation followed by a slt operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
------
Please generate a list, which can be empty if necessary, of instructions in 32-bit hexadecimal format (i.e. hex integers between 0x0 and 0xffffffff), with output format: [a, b, c, ...]. Make sure the instructions are valid RISC-V instruction codes.Remember that one instruction is 32 bits (8 bytes).
""",3051,"""[0x00512013, 0x00000037, 0x00518033, 0x00510133, 0x0000063f, 0x40b10033, 0x00712823, 0x40010113]""",61,none,15,"{'add_seen': 4, 'add_zero_dst': 2, 'add_zero_src': 1, 'add_same_src': 2, 'sub_seen': 9, 'sub_zero_dst': 4, 'sub_zero_src': 1, 'sub_same_src': 1, 'slt_seen': 3, 'slt_zero_dst': 2, 'or_seen': 3, 'sh_seen': 1, 'sw_seen': 11, 'add->sub_raw_hazard': 1, 'sub->sw_raw_hazard': 1}"
5,1,5,3636,"""Thanks for your response.
The CPU has successfully executed numerous instructions following your update. The last instruction performed was 0x37. 
You will now observe the bins haven't been achieved by the CPU, and proceed to generate another list, which can be empty if necessary, of address-instruction pairs to further modify the CPU's memory, ensuring it covers the previously unreached bins (i.e. test cases) upon resuming execution from the current PC.
Here are some of the unreached bins:
------
UNREACHED BINS
- sll_seen: the CPU hasn't performed the operation sll.
- sll_zero_dst: the CPU hasn't executed an instruction that performs the operation sll with register zero as the destination register.
- sltu_seen: the CPU hasn't performed the operation sltu.
- sra->add_raw_hazard: the CPU hasn't perform a sra operation followed by a add operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- srl_zero_dst: the CPU hasn't executed an instruction that performs the operation srl with register zero as the destination register.
- slt->or_raw_hazard: the CPU hasn't perform a slt operation followed by a or operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- jal->or_raw_hazard: the CPU hasn't perform a jal operation followed by a or operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
------
Please generate a list, which can be empty if necessary, of instructions in 32-bit hexadecimal format (i.e. hex integers between 0x0 and 0xffffffff), with output format: [a, b, c, ...]. Make sure the instructions are valid RISC-V instruction codes.Remember that one instruction is 32 bits (8 bytes).
""",3575,"""[0x00112013, 0x00000037, 0x40510033, 0x00010637, 0x40518133, 0x00b12023, 0x000106b7, 0x00412823]""",61,reset,15,"{'add_seen': 6, 'add_zero_dst': 3, 'add_zero_src': 1, 'add_same_src': 2, 'sub_seen': 10, 'sub_zero_dst': 5, 'sub_zero_src': 1, 'sub_same_src': 1, 'slt_seen': 3, 'slt_zero_dst': 2, 'or_seen': 3, 'sh_seen': 1, 'sw_seen': 12, 'add->sub_raw_hazard': 1, 'sub->sw_raw_hazard': 1}"
6,2,1,1869,"""We are working with a CPU capable of executing RISC-V instructions. Our objective is to update the CPU's instruction memory with a sequence of 32-bit addresses and corresponding 32-bit instructions. The goal is to ensure that, when the CPU resumes executing instructions from the current PC, it covers the bins (i.e. test cases) that are of interest to us. 
Here's the description of the bins that are of interest to us:
------
BINS DESCRIPTION
- There are 32 register files available, with index from 0 to 31.
- Register 0 is denoted as ""zero"", and its content is always 0.
- There are 14 available types of operations:
---
OPERATIONS
  - R-type (format: [funct7 (7 bits)][rs2 (5 bits)][rs1 (5 bits)][funct3 (3 bits)][rd (5 bits)][op (7 bits)]):
    - ADD (opcode: 0110011, funct3: 000, funct7: 0000000): addition between two register files
    - SUB (opcode: 0110011, funct3: 000, funct7: 0100000): subtraction between two register files
    - AND (opcode: 0110011, funct3: 111, funct7: 0000000): logical operation AND between two register files
    - OR (opcode: 0110011, funct3: 110, funct7: 0000000): logical operation OR between two register files
    - XOR (opcode: 0110011, funct3: 100, funct7: 0000000): logical operation XOR between two register files
    - SLL (opcode: 0110011, funct3: 001, funct7: 0000000): logical shift left a register file by number of bits equal to another register file
    - SRL (opcode: 0110011, funct3: 101, funct7: 0000000): logical shift right a register file by number of bits equal to another register file
    - SRA (opcode: 0110011, funct3: 101, funct7: 0100000): arithmetic shift right a register file by number of bits equal to another register file
    - SLT (opcode: 0110011, funct3: 010, funct7: 0000000): make comparison between two register files; if the first one is smaller, write 1 to a register file, otherwise write 0
    - SLTU (opcode: 0110011, funct3: 011, funct7: 0000000): make comparison between two unsigned register files; if the first one is smaller, write 1 to a register file, otherwise write 0
  - S-type (format: [imm[11:5] (7 bits)][rs2 (5 bits)][rs1 (5 bits)][funct3 (3 bits)][imm[4:0] (5 bits)][op (7 bits)]):
    - SW (opcode: 0100011, funct3: 010): store a word (a 32-bit value) from a register file to the data memory at the address equal to a register file
    - SH (opcode: 0100011, funct3: 001): store a half-word (a 16-bit value) from a register file to the data memory at the address equal to a register file
    - SB (opcode: 0100011, funct3: 000): load a byte (an 8-bit value) from a register file to the data memory at the address equal to a register file
  - J-type (format: [imm[20|10:1|11|19:12] (20 bits)][rd (5 bits)][op (7 bits)]):
    - JAL (opcode: 1101111): store the address of next instruction as the return address in a register file, then jump (increase PC) by an immediate (i.e. constant value)
---

- BIN type 1: Make the CPU perform each operation at least once.
- BIN type 2: For each R-type or J-type operation, make the CPU execute an instruction with register zero as the destination register (rd).
- BIN type 3: For each R-type or S-type operation, make the CPU execute an instruction with register zero as one of the source registers (rs).
- BIN type 4: For each R-type or S-type operation, make the CPU execute an instruction where both source registers are the same register file.
- BIN type 5: For the JAL operation, make the CPU execute both forward jumps and backward jumps.

- Read-after-Write (RaW) hazard: happens when the current instruction reads from a register which the previous instruction wrote to.
- BIN type 6: For each R-type or S-type operation following an R-type or J-type operation, make the CPU execute two instructions that would cause an RaW hazard.
------
Following the bins description, generate a list, which can be empty if necessary, of ainstructions in 32-bit hexadecimal format to update the CPU's memory, ensuring it covers the specified bins upon resuming execution from the current PC. Make sure the instructions are VALID R-type, S-type, or J-type instructions. We encourage you to use a diverse variety of operations. 
""",1337,"""[0x00a00033, 0x00b50333, 0x00c00433, 0x00d08533, 0x00e10633, 0x00f18733, 0x00a20833, 0x40a28933, 0x00b30a33, 0x00c38b33, 0x00d40c33, 0x00e48d33, 0x00f58e33, 0x00a60f33, 0x00b78033, 0x00c88133, 0x00d98233, 0x00e9c233, 0x00fbc633, 0x00c1c733, 0x00d20833, 0x00e28933, 0x00f30a33, 0x00a40b33, 0x00b50c33, 0x00c60d33, 0x00d70e33, 0x00e80f33, 0x00f98033, 0x00ab0133, 0x00bc0233, 0x00cd0333, 0x00de0433, 0x00ef0533, 0x00a00633, 0x00b10733, 0x00c20833, 0x00d30933, 0x00e40a33, 0x00f50b33, 0x00a60c33, 0x00b70d33, 0x00c80e33, 0x00d90f33, 0x00ea1033, 0x00fb2033, 0x00c00033, 0x00d10133, 0x00e20233, 0x00f30333, 0x00a40433, 0x00b50533, 0x00c60633, 0x00d70733, 0x00e80833, 0x00f90933, 0x00aa0a33, 0x00bb0b33, 0x00cc0c33, 0x00dd0d33, 0x00ee0e33, 0x00ff0f33, 0x800000ef]""",532,none,21,"{'add_seen': 57, 'add_zero_dst': 7, 'add_zero_src': 5, 'add_same_src': 4, 'sub_seen': 13, 'sub_zero_dst': 6, 'sub_zero_src': 1, 'sub_same_src': 1, 'sll_seen': 1, 'sll_zero_dst': 1, 'slt_seen': 4, 'slt_zero_dst': 3, 'xor_seen': 3, 'or_seen': 3, 'sh_seen': 1, 'sw_seen': 13, 'add->add_raw_hazard': 2, 'slt->add_raw_hazard': 1, 'add->sub_raw_hazard': 1, 'xor->xor_raw_hazard': 1, 'sub->sw_raw_hazard': 2}"
7,2,2,2424,"""Thanks for your response.
The CPU has successfully executed numerous instructions following your update. The last instruction performed was 0xaa0a33. 
You will now observe the bins haven't been achieved by the CPU, and proceed to generate another list, which can be empty if necessary, of address-instruction pairs to further modify the CPU's memory, ensuring it covers the previously unreached bins (i.e. test cases) upon resuming execution from the current PC.
Here are some of the unreached bins:
------
UNREACHED BINS
- sll_zero_src: the CPU hasn't executed an instruction that performs the operation sll with register zero as one of the source registers.
- sll_same_src: the CPU hasn't executed an instruction that performs the operation sll with same source registers.
- jal_zero_dst: the CPU hasn't executed an instruction that performs the operation jal with register zero as the destination register.
- and_same_src: the CPU hasn't executed an instruction that performs the operation and with same source registers.
- sltu_seen: the CPU hasn't performed the operation sltu.
- sll->sb_raw_hazard: the CPU hasn't perform a sll operation followed by a sb operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- sltu->slt_raw_hazard: the CPU hasn't perform a sltu operation followed by a slt operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
------
Please generate a list, which can be empty if necessary, of instructions in 32-bit hexadecimal format (i.e. hex integers between 0x0 and 0xffffffff), with output format: [a, b, c, ...]. Make sure the instructions are valid RISC-V instruction codes.Remember that one instruction is 32 bits (8 bytes).
""",2319,"""[0x00a00033, 0x00b00b33, 0x00c003b3, 0x0000006f, 0x00d00733, 0x00e00333, 0x00f00b33, 0x00a00b33, 0x40a00033, 0x00b33333, 0x00c0b333, 0x00d3b333]""",105,none,24,"{'add_seen': 77, 'add_zero_dst': 8, 'add_zero_src': 20, 'add_same_src': 4, 'sub_seen': 13, 'sub_zero_dst': 6, 'sub_zero_src': 1, 'sub_same_src': 1, 'sll_seen': 1, 'sll_zero_dst': 1, 'slt_seen': 4, 'slt_zero_dst': 3, 'xor_seen': 3, 'or_seen': 3, 'sh_seen': 1, 'sw_seen': 13, 'jal_seen': 1, 'jal_zero_dst': 1, 'add->add_raw_hazard': 4, 'slt->add_raw_hazard': 1, 'jal->add_raw_hazard': 1, 'add->sub_raw_hazard': 1, 'xor->xor_raw_hazard': 1, 'sub->sw_raw_hazard': 2}"
8,2,3,2981,"""Thanks for your response.
The CPU has successfully executed numerous instructions following your update. The last instruction performed was 0xe00333. 
You will now observe the bins haven't been achieved by the CPU, and proceed to generate another list, which can be empty if necessary, of address-instruction pairs to further modify the CPU's memory, ensuring it covers the previously unreached bins (i.e. test cases) upon resuming execution from the current PC.
Here are some of the unreached bins:
------
UNREACHED BINS
- sll_zero_src: the CPU hasn't executed an instruction that performs the operation sll with register zero as one of the source registers.
- sll_same_src: the CPU hasn't executed an instruction that performs the operation sll with same source registers.
- xor_zero_dst: the CPU hasn't executed an instruction that performs the operation xor with register zero as the destination register.
- or->add_raw_hazard: the CPU hasn't perform a or operation followed by a add operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- and_seen: the CPU hasn't performed the operation and.
- and->sub_raw_hazard: the CPU hasn't perform a and operation followed by a sub operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- jal->sub_raw_hazard: the CPU hasn't perform a jal operation followed by a sub operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
------
Please generate a list, which can be empty if necessary, of instructions in 32-bit hexadecimal format (i.e. hex integers between 0x0 and 0xffffffff), with output format: [a, b, c, ...]. Make sure the instructions are valid RISC-V instruction codes.Remember that one instruction is 32 bits (8 bytes).
""",2894,"""[0x00a00033, 0x00b00b33, 0x00c007b3, 0x00d00633, 0x00e00733, 0x40a28933, 0x00b7f333, 0x00c7b333, 0x40a000ef, 0x40b40433]""",87,none,25,"{'add_seen': 83, 'add_zero_dst': 9, 'add_zero_src': 26, 'add_same_src': 4, 'sub_seen': 14, 'sub_zero_dst': 7, 'sub_zero_src': 2, 'sub_same_src': 1, 'sll_seen': 1, 'sll_zero_dst': 1, 'slt_seen': 4, 'slt_zero_dst': 3, 'sltu_seen': 2, 'xor_seen': 3, 'or_seen': 3, 'sh_seen': 1, 'sw_seen': 13, 'jal_seen': 1, 'jal_zero_dst': 1, 'add->add_raw_hazard': 5, 'slt->add_raw_hazard': 1, 'jal->add_raw_hazard': 1, 'add->sub_raw_hazard': 1, 'xor->xor_raw_hazard': 1, 'sub->sw_raw_hazard': 2}"
