Model,meta-llama/llama-3-70b-instruct,SYSTEM,"Please output a list of hexadecimal integers only, each integer between 0x0 and 0xffffffff. 
Do not give any explanations. 
Output format: [a, b, c ...].",temperature,0.4,top_p,1,Prompter,TemplatePromptGenerator4MC,Extractor,UniversalExtractor
Total Message#,Dialog #,Message #,Total Token Cnt,USER,Input Token Cnt,ASSISTANT,Output Token Cnt,Action,Coverage Rate,Coverage Plan
1,1,1,1762,"""You will receive a description of bins (i.e. test cases) of a testbench for a hardware device under test (DUT), which is a MIPS CPU. Then, you are going to generate a list of 32-bit integers between 0x0 and 0xffffffff to update the instruction memory in order to cover these test cases, where the integer represents a MIPS instruction, next loaded into instruction memory. DO NOT SUPPLY 0x0 AS AN INSTRUCTION

----------
We are working with a CPU capable of executing MIPS instructions. Remember that one instruction is 32 bits (8 bytes).
Our objective is to update the CPU's instruction memory with a sequence of 32-bit addresses and corresponding 32-bit instructions. The goal is to ensure that, when the CPU resumes executing instructions from the current PC, it covers the bins (i.e. test cases) that are of interest to us. 
Here's the description of the bins that are of interest to us:
------
BINS DESCRIPTION
- There are 32 register files available, with index from 0 to 31.
- Register 0 is denoted as ""zero"", and its content is always 0.
- DO NOT SUPPLY 0x00000000 AS THE INSTRUCTION!
- There are 14 available types of operations (ONLY USE THESE!):
---
OPERATIONS
  - R-type (format: [opcode (6 bits)][rs (5 bits)][rt (5 bits)][rd (5 bits)][sa (5 bits)][function (6 bits)]):
    - ADD (opcode: 000000, function: 100000): addition between two register files
    - SUB (opcode: 000000, function: 100010): subtraction between two register files
    - AND (opcode: 000000, function: 100100): logical operation AND between two register files
    - OR (opcode: 000000, function: 100101): logical operation OR between two register files
    - XOR (opcode: 000000, function: 100110): logical operation XOR between two register files
    - SLL (opcode: 000000, function: 001111): logical shift left a register file by number of bits equal to another register file
    - SRL (opcode: 000000, function: 000010): logical shift right a register file by number of bits equal to another register file
    - SRA (opcode: 000000, function: 000011): arithmetic shift right a register file by number of bits equal to another register file
    - SLT (opcode: 000000, function: 101010): make comparison between two register files; if the first one is smaller, write 1 to a register file, otherwise write 0
    - SLTU (opcode: 000000, function: 101011): make comparison between two unsigned register files; if the first one is smaller, write 1 to a register file, otherwise write 0
  - I-type (format: [opcode (6 bits)][rs (5 bits)][rt (5 bits)][immediate (16 bits)]):
    - SW (opcode: 101011): store a word (a 32-bit value) from a register file to the data memory at the address equal to a register file
    - SH (opcode: 101001): store a half-word (a 16-bit value) from a register file to the data memory at the address equal to a register file
    - SB (opcode: 101000): load a byte (an 8-bit value) from a register file to the data memory at the address equal to a register file
  - J-type (format: [opcode (6 bits)][instr_index (26 bits)]):
    - JAL (opcode: 000011): store the address of next instruction as the return address in a register file, then jump (increase PC) by an immediate (i.e. constant value)
---

- BIN type 1: Make the CPU perform each operation at least once.
- BIN type 2: For each R-type or J-type operation, make the CPU execute an instruction with register zero as the destination register (rd).
- BIN type 3: For each R-type or I-type operation, make the CPU execute an instruction with register zero as one of the source registers (rs).
- BIN type 4: For each R-type or I-type operation, make the CPU execute an instruction where both source registers are the same register file.
- BIN type 5: For the JAL operation, make the CPU execute both forward jumps and backward jumps.

- Read-after-Write (RaW) hazard: happens when the current instruction reads from a register which the previous instruction wrote to.
- BIN type 6: For each R-type or I-type operation following an R-type or J-type operation, make the CPU execute two instructions that would cause an RaW hazard.

------
Here are a few examples:
- 0x0067a020 => op=000000 rs=00011 rt=00111 rd=10100 sa=00000 funct=100000 => add_seen covered
- 0x0c00000a => op=000011 instr_index=00000000000000000000001010 => jal_seen covered
- 0x00001403 => op=000000 rs=00000 rt=00000 rd=00101 sa=00011 funct=000000 => sll_seen, sll_zero_src covered
- 0x00f7a2a3 => op=101011 rs=01111 rt=01111 imm=0000000000000101 => sw_seen, sw_same_src covered
- 0xa4010000 => op=101001 rs=00000 rt=00001 imm=0000000000000000 => sh_seen, sh_zero_src covered
- 0x0022182b, 0x00652026 => op=000000 rs=00001 rt=00010 rd=00011 sa=00000 funct=101011, op=000000 rs=00011 rt=00101 rd=00100 sa=00000 funct=100110 => sltu_seen, xor_seen, sltu->xor_raw_hazard covered
------

----------
Following the bins description, generate a list, which can be empty if necessary, of instructions in 32-bit hexadecimal format to update the CPU's memory, ensuring it covers the specified bins upon resuming execution from the current PC. Make sure the instructions are valid MIPS instruction codes.Remember that one instruction is 32 bits (8 bytes).
""",1473,"""[0x00200008, 0x00210009, 0x0033000a, 0x0024200b, 0x0062380c, 0x0078080d, 0x0002040e, 0x00e22010, 0x00121811, 0x010a2812, 0x012b4013, 0x014f2814, 0x0165c015, 0x02af2016, 0x02652017, 0x0800000a, 0x08000018, 0x0800101a, 0x0c00000a, 0x0c000012, 0x0c000018, 0x00001403, 0x00f7a2a3, 0xa4010000, 0x0022182b, 0x00652026, 0x00844829, 0x00b8212a, 0x0012182c, 0x020a401d, 0x024a421e, 0x028a441f, 0x02ca6020, 0x00247821, 0x00481023, 0x00694824, 0x008a7025]""",289,none,12,"{'slt_seen': 11, 'sltu_seen': 11, 'xor_seen': 11, 'sra_seen': 11, 'sra_zero_src': 11, 'sra_same_src': 11, 'sh_seen': 11, 'sh_zero_src': 11, 'jal_seen': 66, 'jal_br_backwards': 66, 'sltu->xor_raw_hazard': 1, 'jal->sra_raw_hazard': 1}"
2,1,2,2394,"""Thanks for your response.
The CPU has successfully executed numerous instructions following your update. The last instruction performed was None. 
You will now observe the bins haven't been achieved by the CPU, and proceed to generate another list, which can be empty if necessary, of instructions to further modify the CPU's memory, ensuring it covers the previously unreached bins (i.e. test cases) upon resuming execution from the current PC.
Here are some of the unreached bins:
------
UNREACHED BINS
- add_seen: the CPU hasn't performed the operation add.
- add_zero_dst: the CPU hasn't executed an instruction that performs the operation add with register zero as the destination register.
- sra->or_raw_hazard: the CPU hasn't perform a sra operation followed by a or operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- sub->or_raw_hazard: the CPU hasn't perform a sub operation followed by a or operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- slt->sb_raw_hazard: the CPU hasn't perform a slt operation followed by a sb operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- slt->sub_raw_hazard: the CPU hasn't perform a slt operation followed by a sub operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- jal->sltu_raw_hazard: the CPU hasn't perform a jal operation followed by a sltu operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
------
Please generate a list, which can be empty if necessary, of instructions in 32-bit hexadecimal format to further update the CPU's memory, ensuring it covers the specified unreached bins (i.e. test cases) upon resuming execution from the current PC. Make sure the instructions are valid R-type, S-type, or J-type instructions. We encourage you to use a diverse variety of operations. Remember that one instruction is 32 bits (8 bytes).
""",2284,"""[0x00400004, 0x00400000, 0x000a482a, 0x008a402b, 0x000a482c, 0x008a602d, 0x000a482e, 0x008a802f, 0x0c000030, 0x000a4831, 0x008a6032, 0x0c000033, 0x000a4834, 0x008a8035]""",110,none,17,"{'add_seen': 11, 'slt_seen': 22, 'slt_zero_src': 11, 'sltu_seen': 22, 'xor_seen': 11, 'sra_seen': 11, 'sra_zero_src': 11, 'sra_same_src': 11, 'or_seen': 11, 'and_seen': 11, 'sh_seen': 11, 'sh_zero_src': 11, 'jal_seen': 77, 'jal_br_backwards': 77, 'sltu->xor_raw_hazard': 1, 'jal->sra_raw_hazard': 1, 'and->and_raw_hazard': 10}"
3,1,3,2983,"""Thanks for your response.
The CPU has successfully executed numerous instructions following your update. The last instruction performed was None. 
You will now observe the bins haven't been achieved by the CPU, and proceed to generate another list, which can be empty if necessary, of instructions to further modify the CPU's memory, ensuring it covers the previously unreached bins (i.e. test cases) upon resuming execution from the current PC.
Here are some of the unreached bins:
------
UNREACHED BINS
- add_zero_dst: the CPU hasn't executed an instruction that performs the operation add with register zero as the destination register.
- add_zero_src: the CPU hasn't executed an instruction that performs the operation add with register zero as one of the source registers.
- sw_seen: the CPU hasn't performed the operation sw.
- xor->sw_raw_hazard: the CPU hasn't perform a xor operation followed by a sw operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- xor->sra_raw_hazard: the CPU hasn't perform a xor operation followed by a sra operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- xor->srl_raw_hazard: the CPU hasn't perform a xor operation followed by a srl operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- and->add_raw_hazard: the CPU hasn't perform a and operation followed by a add operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
------
Please generate a list, which can be empty if necessary, of instructions in 32-bit hexadecimal format to further update the CPU's memory, ensuring it covers the specified unreached bins (i.e. test cases) upon resuming execution from the current PC. Make sure the instructions are valid R-type, S-type, or J-type instructions. We encourage you to use a diverse variety of operations. Remember that one instruction is 32 bits (8 bytes).
""",2891,"""[0x00000004, 0x00200000, 0x00f72023, 0x00844824, 0x008a4825, 0x008a6026, 0x008a4827, 0x008a8028, 0x00444829, 0x004a402a, 0x004a602b, 0x004a802c]""",92,none,18,"{'add_seen': 11, 'slt_seen': 22, 'slt_zero_src': 11, 'sltu_seen': 22, 'xor_seen': 22, 'sra_seen': 11, 'sra_zero_src': 11, 'sra_same_src': 11, 'or_seen': 22, 'and_seen': 22, 'and_same_src': 11, 'sh_seen': 11, 'sh_zero_src': 11, 'jal_seen': 88, 'jal_br_backwards': 88, 'sltu->xor_raw_hazard': 1, 'jal->sra_raw_hazard': 1, 'and->and_raw_hazard': 10}"
4,1,4,3665,"""Thanks for your response.
The CPU has successfully executed numerous instructions following your update. The last instruction performed was None. 
You will now observe the bins haven't been achieved by the CPU, and proceed to generate another list, which can be empty if necessary, of instructions to further modify the CPU's memory, ensuring it covers the previously unreached bins (i.e. test cases) upon resuming execution from the current PC.
Here are some of the unreached bins:
------
UNREACHED BINS
- add_zero_dst: the CPU hasn't executed an instruction that performs the operation add with register zero as the destination register.
- add_zero_src: the CPU hasn't executed an instruction that performs the operation add with register zero as one of the source registers.
- sra->sb_raw_hazard: the CPU hasn't perform a sra operation followed by a sb operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- slt->sll_raw_hazard: the CPU hasn't perform a slt operation followed by a sll operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- jal->srl_raw_hazard: the CPU hasn't perform a jal operation followed by a srl operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- add->slt_raw_hazard: the CPU hasn't perform a add operation followed by a slt operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- sltu->sltu_raw_hazard: the CPU hasn't perform a sltu operation followed by a sltu operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
------
Please generate a list, which can be empty if necessary, of instructions in 32-bit hexadecimal format to further update the CPU's memory, ensuring it covers the specified unreached bins (i.e. test cases) upon resuming execution from the current PC. Make sure the instructions are valid R-type, S-type, or J-type instructions. We encourage you to use a diverse variety of operations. Remember that one instruction is 32 bits (8 bytes).
""",3524,"""[0x00000004, 0x00200000, 0x000a482a, 0x008a402b, 0x000a482c, 0x008a602d, 0x0c000030, 0x000a4831, 0x008a6032, 0x000a4834, 0x008a8035, 0x00444836, 0x004a4037, 0x004a6038, 0x004a8039, 0x006a483a, 0x006a603b, 0x006a803c]""",141,none,18,"{'add_seen': 11, 'slt_seen': 44, 'slt_zero_src': 22, 'sltu_seen': 44, 'xor_seen': 22, 'sra_seen': 11, 'sra_zero_src': 11, 'sra_same_src': 11, 'or_seen': 22, 'and_seen': 22, 'and_same_src': 11, 'sh_seen': 11, 'sh_zero_src': 11, 'jal_seen': 99, 'jal_br_backwards': 99, 'sltu->xor_raw_hazard': 1, 'jal->sra_raw_hazard': 1, 'and->and_raw_hazard': 10}"
5,1,5,4324,"""Thanks for your response.
The CPU has successfully executed numerous instructions following your update. The last instruction performed was None. 
You will now observe the bins haven't been achieved by the CPU, and proceed to generate another list, which can be empty if necessary, of instructions to further modify the CPU's memory, ensuring it covers the previously unreached bins (i.e. test cases) upon resuming execution from the current PC.
Here are some of the unreached bins:
------
UNREACHED BINS
- add_zero_dst: the CPU hasn't executed an instruction that performs the operation add with register zero as the destination register.
- add_zero_src: the CPU hasn't executed an instruction that performs the operation add with register zero as one of the source registers.
- sltu->sw_raw_hazard: the CPU hasn't perform a sltu operation followed by a sw operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- or->xor_raw_hazard: the CPU hasn't perform a or operation followed by a xor operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- or->srl_raw_hazard: the CPU hasn't perform a or operation followed by a srl operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- jal->srl_raw_hazard: the CPU hasn't perform a jal operation followed by a srl operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- and->or_raw_hazard: the CPU hasn't perform a and operation followed by a or operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
------
Please generate a list, which can be empty if necessary, of instructions in 32-bit hexadecimal format to further update the CPU's memory, ensuring it covers the specified unreached bins (i.e. test cases) upon resuming execution from the current PC. Make sure the instructions are valid R-type, S-type, or J-type instructions. We encourage you to use a diverse variety of operations. Remember that one instruction is 32 bits (8 bytes).
""",4199,"""[0x00000004, 0x00200000, 0x00652041, 0x008a6042, 0x00444843, 0x004a4044, 0x004a6045, 0x004a8046, 0x006a4847, 0x006a6048, 0x006a8049, 0x0c00004a, 0x0044484b, 0x004a404c, 0x004a604d, 0x004a804e]""",125,none,19,"{'add_seen': 11, 'slt_seen': 44, 'slt_zero_src': 22, 'sltu_seen': 44, 'xor_seen': 22, 'srl_seen': 11, 'sra_seen': 22, 'sra_zero_src': 11, 'sra_same_src': 11, 'or_seen': 22, 'and_seen': 22, 'and_same_src': 11, 'sh_seen': 11, 'sh_zero_src': 11, 'jal_seen': 99, 'jal_br_backwards': 99, 'sltu->xor_raw_hazard': 1, 'jal->sra_raw_hazard': 1, 'and->and_raw_hazard': 10}"
6,1,6,4365,"""Thanks for your response.
The CPU has successfully executed numerous instructions following your update. The last instruction performed was None. 
You will now observe the bins haven't been achieved by the CPU, and proceed to generate another list, which can be empty if necessary, of instructions to further modify the CPU's memory, ensuring it covers the previously unreached bins (i.e. test cases) upon resuming execution from the current PC.
Here are some of the unreached bins:
------
UNREACHED BINS
- add_zero_dst: the CPU hasn't executed an instruction that performs the operation add with register zero as the destination register.
- add_zero_src: the CPU hasn't executed an instruction that performs the operation add with register zero as one of the source registers.
- and->sw_raw_hazard: the CPU hasn't perform a and operation followed by a sw operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- sll_same_src: the CPU hasn't executed an instruction that performs the operation sll with same source registers.
- sll->sh_raw_hazard: the CPU hasn't perform a sll operation followed by a sh operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- jal->or_raw_hazard: the CPU hasn't perform a jal operation followed by a or operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- or->sh_raw_hazard: the CPU hasn't perform a or operation followed by a sh operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
------
Please generate a list, which can be empty if necessary, of instructions in 32-bit hexadecimal format to further update the CPU's memory, ensuring it covers the specified unreached bins (i.e. test cases) upon resuming execution from the current PC. Make sure the instructions are valid R-type, S-type, or J-type instructions. We encourage you to use a diverse variety of operations. Remember that one instruction is 32 bits (8 bytes).
""",4241,"""[0x00000004, 0x00200000, 0x00444851, 0x004a4052, 0x004a6053, 0x004a8054, 0x00652055, 0x008a6056, 0x00001457, 0x000a4858, 0x008a6059, 0x0c00005a, 0x0044485b, 0x004a405c, 0x004a605d, 0x004a805e]""",124,none,19,"{'add_seen': 11, 'slt_seen': 44, 'slt_zero_src': 22, 'sltu_seen': 44, 'xor_seen': 22, 'srl_seen': 11, 'sra_seen': 22, 'sra_zero_src': 11, 'sra_same_src': 11, 'or_seen': 22, 'and_seen': 22, 'and_same_src': 11, 'sh_seen': 11, 'sh_zero_src': 11, 'jal_seen': 110, 'jal_br_backwards': 110, 'sltu->xor_raw_hazard': 1, 'jal->sra_raw_hazard': 1, 'and->and_raw_hazard': 10}"
7,1,7,4299,"""Thanks for your response.
The CPU has successfully executed numerous instructions following your update. The last instruction performed was None. 
You will now observe the bins haven't been achieved by the CPU, and proceed to generate another list, which can be empty if necessary, of instructions to further modify the CPU's memory, ensuring it covers the previously unreached bins (i.e. test cases) upon resuming execution from the current PC.
Here are some of the unreached bins:
------
UNREACHED BINS
- add_zero_dst: the CPU hasn't executed an instruction that performs the operation add with register zero as the destination register.
- add_zero_src: the CPU hasn't executed an instruction that performs the operation add with register zero as one of the source registers.
- and->xor_raw_hazard: the CPU hasn't perform a and operation followed by a xor operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- or->srl_raw_hazard: the CPU hasn't perform a or operation followed by a srl operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- srl_zero_src: the CPU hasn't executed an instruction that performs the operation srl with register zero as one of the source registers.
- xor->sra_raw_hazard: the CPU hasn't perform a xor operation followed by a sra operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- or_zero_dst: the CPU hasn't executed an instruction that performs the operation or with register zero as the destination register.
------
Please generate a list, which can be empty if necessary, of instructions in 32-bit hexadecimal format to further update the CPU's memory, ensuring it covers the specified unreached bins (i.e. test cases) upon resuming execution from the current PC. Make sure the instructions are valid R-type, S-type, or J-type instructions. We encourage you to use a diverse variety of operations. Remember that one instruction is 32 bits (8 bytes).
""",4130,"""[0x00000004, 0x00200000, 0x00444861, 0x004a4062, 0x004a6063, 0x004a8064, 0x00652065, 0x008a6066, 0x00001467, 0x000a4868, 0x008a6069, 0x0c00006a, 0x0044486b, 0x004a406c, 0x004a606d, 0x004a806e, 0x00000070, 0x00200071, 0x00444872, 0x004a4073, 0x004a6074, 0x004a8075]""",169,none,21,"{'add_seen': 11, 'sub_seen': 11, 'slt_seen': 44, 'slt_zero_src': 22, 'sltu_seen': 55, 'xor_seen': 33, 'srl_seen': 11, 'sra_seen': 22, 'sra_zero_src': 11, 'sra_same_src': 11, 'or_seen': 33, 'and_seen': 33, 'and_same_src': 11, 'sh_seen': 11, 'sh_zero_src': 11, 'jal_seen': 132, 'jal_br_backwards': 132, 'sltu->xor_raw_hazard': 1, 'or->xor_raw_hazard': 1, 'jal->sra_raw_hazard': 1, 'and->and_raw_hazard': 10}"
8,1,8,4336,"""Thanks for your response.
The CPU has successfully executed numerous instructions following your update. The last instruction performed was None. 
You will now observe the bins haven't been achieved by the CPU, and proceed to generate another list, which can be empty if necessary, of instructions to further modify the CPU's memory, ensuring it covers the previously unreached bins (i.e. test cases) upon resuming execution from the current PC.
Here are some of the unreached bins:
------
UNREACHED BINS
- add_zero_dst: the CPU hasn't executed an instruction that performs the operation add with register zero as the destination register.
- add_zero_src: the CPU hasn't executed an instruction that performs the operation add with register zero as one of the source registers.
- sll->and_raw_hazard: the CPU hasn't perform a sll operation followed by a and operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- sra->sra_raw_hazard: the CPU hasn't perform a sra operation followed by a sra operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- or->slt_raw_hazard: the CPU hasn't perform a or operation followed by a slt operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- sub->sltu_raw_hazard: the CPU hasn't perform a sub operation followed by a sltu operation with RaW hazard, in which the second operation has a source register that is the same as the destination register of the first operation.
- sb_same_src: the CPU hasn't executed an instruction that performs the operation sb with same source registers.
------
Please generate a list, which can be empty if necessary, of instructions in 32-bit hexadecimal format to further update the CPU's memory, ensuring it covers the specified unreached bins (i.e. test cases) upon resuming execution from the current PC. Make sure the instructions are valid R-type, S-type, or J-type instructions. We encourage you to use a diverse variety of operations. Remember that one instruction is 32 bits (8 bytes).
""",4203,"""[0x00000004, 0x00200000, 0x000a4820, 0x008a4021, 0x000a4822, 0x008a6023, 0x00444824, 0x004a4025, 0x004a6026, 0x004a8027, 0x006a4848, 0x006a6049, 0x006a8050, 0x00f72051, 0x00f72052, 0x00f72053, 0x00f72054]""",133,none,23,"{'add_seen': 22, 'add_zero_src': 11, 'sub_seen': 22, 'sub_zero_src': 11, 'slt_seen': 44, 'slt_zero_src': 22, 'sltu_seen': 55, 'xor_seen': 44, 'srl_seen': 11, 'sra_seen': 22, 'sra_zero_src': 11, 'sra_same_src': 11, 'or_seen': 44, 'and_seen': 44, 'and_same_src': 11, 'sh_seen': 11, 'sh_zero_src': 11, 'jal_seen': 132, 'jal_br_backwards': 132, 'sltu->xor_raw_hazard': 1, 'or->xor_raw_hazard': 1, 'jal->sra_raw_hazard': 1, 'and->and_raw_hazard': 10}"
